company,model_name,colour,operating_system,Processor,processor_company,ram_in_GB,storage_in_GB,storage_type,touch_screen,screen_size,battery_life_in_hours,delivery,price_in_Euro
LENOVO,"IdeaPad Duet 5 13.3"" 2 in 1 Chromebook ",blue,Chrome OS,Qualcomm Snapdragon 7C Processor,Qualcomm,8,256.0,eMMC,yes,13.3,15.0,yes,659.0
HP,"ENVY x360 Convert 15-eu0500na 15.6"" 2 in 1 Laptop ",black,Free Upgrade to Windows 11,AMD Ryzen 5 5500U Processor,AMD,8,256.0,SSD,yes,15.6,11.5,yes,1049.0
LENOVO,"IdeaPad Duet 3i 10.3"" 2 in 1 Laptop ",grey,Free Upgrade to Windows 11,Intel Celeron N4020 Processor,Intel,4,64.0,eMMC,yes,10.3,,yes,339.0
ASUS,"ZenBook UX425EA 14"" Laptop ",grey,Free Upgrade to Windows 11,Intel Core i5-1135G7 Processor,Intel,8,256.0,SSD,no,14.0,,yes,1029.0
HP,"15s-eq1516sa 15.6"" Laptop ",silver,Free Upgrade to Windows 11,AMD Ryzen 3 3250U Processor,AMD,4,128.0,SSD,no,15.6,,yes,459.0
HP,"14a-na0509sa 14"" Chromebook ",white,Chrome OS,Intel Pentium Silver N5030 processor,Intel,4,64.0,eMMC,no,14.0,12.5,yes,389.0
SAMSUNG,"Galaxy Book Pro 360 13.3"" 2 in 1 Laptop ",mystic navy,Free Upgrade to Windows 11,Intel Evo platform,Intel,8,256.0,SSD,yes,13.3,,yes,1099.0
ACER,"Aspire 5 A514-54 14"" Laptop ",silver,Free Upgrade to Windows 11,Intel Core i5-1135G7 Processor,Intel,8,256.0,SSD,no,14.0,10.0,yes,659.0
LENOVO,"IdeaPad 5i Pro 16"" Laptop ",grey,Free Upgrade to Windows 11,Intel Core i5-11300H Processor,Intel,8,256.0,SSD,no,16.0,,yes,959.0
LENOVO,"IdeaPad Duet 10.1"" 2 in 1 Chromebook ",blue & grey,Chrome OS,MediaTek P60T Processor,MediaTek,4,64.0,eMCP,yes,10.1,10.0,yes,299.0
MICROSOFT,"13"" Surface Pro 8 ",platinum,Windows 11,Intel Core i5-1135G7 Processor,Intel,8,128.0,SSD,yes,13.0,,yes,1199.0
HP,"Pavilion 15-eh0511sa 15.6"" Laptop ",silver,Free Upgrade to Windows 11,AMD Ryzen 5 4500U Processor,AMD,8,256.0,SSD,yes,15.6,6.0,yes,779.99
DELL,"Inspiron 14 5415 14"" Laptop ",silver,Windows 11,AMD Ryzen 7 5700U Processor,AMD,8,256.0,SSD,no,14.0,13.0,yes,879.0
MICROSOFT,"15"" Surface Laptop 4 ",black,Free Upgrade to Windows 11,Intel Core i7-1185G7 Processor,Intel,16,256.0,SSD,yes,15.0,16.5,yes,1999.0
ASUS,"Zenbook Flip UX363EA 13.3"" 2 in 1 Laptop ",grey,Free Upgrade to Windows 11,Intel Evo platform,Intel,8,256.0,SSD,yes,13.3,,yes,959.0
ASUS,"C523 15.6"" Chromebook ",silver,Chrome OS,Intel Celeron N3350 Processor,Intel,4,64.0,eMMC,no,15.6,9.0,yes,359.0
DELL,"Inspiron 16 Plus 7610 16"" Laptop ",blue,Free Upgrade to Windows 11,Intel Core i7-11800H Processor,Intel,16,1000.0,SSD,no,16.0,,yes,1699.0
HP,"ENVY x360 Convert 13.3"" 2 in 1 Laptop ",silver,Windows 11,Intel Evo platform,Intel,8,256.0,SSD,no,13.3,,yes,1199.0
MICROSOFT,"10.5"" Surface Go 3 ",platinum,Windows 11,Intel Core i3-10100Y Processor,Intel,8,128.0,SSD,yes,10.5,11.0,yes,649.0
MICROSOFT,"15"" Surface Laptop 4 ",platinum,Free Upgrade to Windows 11,AMD Ryzen 7 4980U Processor,AMD,8,256.0,SSD,yes,15.0,17.5,yes,1399.0
DELL,"Inspiron 14 7415 14"" 2 in 1 Laptop ",blue,Free Upgrade to Windows 11,AMD Ryzen 7 5700U Processor,AMD,16,256.0,SSD,yes,14.0,11.0,yes,1079.0
ACER,"Aspire 3 A314-22 14"" Laptop ",silver,Free Upgrade to Windows 11,AMD Ryzen 3 3250U Processor,AMD,4,128.0,SSD,no,14.0,,yes,479.0
ASUS,"C223 11.6"" Chromebook ",red,Chrome OS,Intel Celeron N3350 Processor,Intel,4,256.0,eMMC,no,11.6,10.0,yes,239.0
ACER,"Swift 3 14"" Laptop ",blue,Free Upgrade to Windows 11,AMD Ryzen 5 5500U Processor,AMD,8,1000.0,SSD,no,14.0,12.5,yes,799.0
ASUS,"VivoBook M515UA 15.6"" Laptop ",silver,Free Upgrade to Windows 11,AMD Ryzen 5 5500U Processor,AMD,8,256.0,SSD,no,15.6,6.0,yes,689.0
